Tiếng Việt,Tiếng BaNa
"Góp phần nâng cao đời sống vật chất tinh thần, giảm thiểu các tệ nạn xã hội, các hủ tục lạc hậu, mê tín dị đoan, phát huy các giá trị truyền thống của đồng bào các dân tộc; tích cực thực hiện cuộc vận động xây dựng nông thôn mới, đô thị văn minh; xây dựng làng văn hóa, gia đình văn hóa","Pôgop tôdrong poâk xuoân tôdrong yaêl arih oeng nöih sôngöm, pôm tôjul rim teâ nan xa hoâi, rim tôdrong lac haâu, meâ tin di ñoan, pôjing rim giaê tri ñông sô ñông naê ma kon koâng; pôjaêng pôm maêng krao akom tôjung pôm cham pôlei anao, ñoâ thi vaên minh; tôjung pôm pôlei vaên hoa, unh hnam vaên hoa"
"Các hoạt động kết nghĩa trên địa bàn huyện trong thời gian qua tiếp tục củng cố và phát huy tinh thần đại đoàn kết dân tộc, kịp thời hỗ trợ giúp đỡ đồng bào DTTS nhất là các hộ có hoàn cảnh khó khăn từng bước vươn lên ổn định cuộc sống","Rim tôdrong keât nghia lôm tôring huyeân lôm jônang anu yuoâ ôu ling lang cung coâ oeng phat huy nöih sôngöm ñai ñoan keât kon koâng, tôtam tôgum naê ma kon koâng, pôgloh la rim unh hnam ôi tôdrong hrat tônap rim tôdrong kjung alöng tôdrong yaêl arih"
"Trong quý I, Công an huyện đã chủ động phối hợp với các phòng, ban, ngành, hội, đoàn thể huyện và UBND các xã, thị trấn tổ chức tuyên truyền, phổ biến giáo dục pháp luật và phát động phong trào Toàn dân bảo vệ an ninh Tổ quốc tham gia phòng, chống tội phạm trước, trong và sau Tết Nguyên đán 2020","Lôm quy I, Coâng an huyeân jôh chu ñoâng adring rim phong, ban, nganh, hoâi, ñoan theâ huyeân oeng UBND rim xa, thi traân pôlok pôtho khan, phoâ bieân giao duc phap luaât oeng phat ñoâng trong glong ñi ñaêng naê na jö vei an ninh the ñak adring pôm phong dôt toâi pham adrol, lôm oeng ñông rong Teât nguyeân ñan sônaêm 2020"
"Công an huyện đã tổ chức 12 đợt tuyên truyền với hơn 1.264 lượt người tham gia; nhất là tuyên truyền về các phương thức, thủ đoạn hoạt động của các đối tượng có hành vi lừa đảo qua mạng xã hội, trộm cắp tài sản, Nghị định số 100 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ, đường sắt; giáo dục pháp luật cho 17 đối tượng hình sự, 07 đối tượng nghi vấn sử dụng trái phép chất ma túy","Coâng an huyeân jôh pôlok 12 maêng pôtho khan adring loi 1.264 maêng naê ma adring pôm; pôgloh la pôtho khan lôm rim tôdrong pôm ñông rim ñoâi töông ôi tôdrong löa ñao qua mang xa hoâi, toâng kua tômam, Nghi ñinh ksoâ 100 ñông kôpal the ñak quy ñinh xö phat pôm glaêi hanh chinh lôm tôdrong giao thoâng trong boâ, trong pôsei; pôtho khan phap luaât aên 17 ñoâi töông hinh sö, 07 ñoâi töông nghi ôi chaê yuoâ glaêi chaât ma tuy"
"Thực hiện tốt công tác nắm địa bàn, nắm hộ, nắm người và giải quyết tình hình an ninh, trật tự tại địa bàn cơ sở","Pôm hôgei tôdrong roâp baêt cham pôlei, roâp baêt unh hnam, bôngai oeng tôgum tôdrong an ninh traât tö lôm cham pôlei cô sô"
"Qua đó, góp phần có hiệu quả trong phòng ngừa, đấu tranh với tội phạm, tệ nạn xã hội; huy động sức mạnh tổng hợp của cả hệ thống chính trị, của toàn dân vào công tác phòng, chống tội phạm","Qua noh, pôgop tôdrong ôi thu yok lôm phong dôt, ñaâu tranh adring toâi pham, teâ nan xa hoâi, krao jaêng pjran toâng hôp ñông ñi ñaêng heâ thoâng chinh tri, ñông naê ma tômöt tôdrong phong dôt bôngai pôm glaêi"
"Ngày 15.6, ông Đinh Drin đã có buổi tiếp xúc với cử tri thị trấn Vĩnh Thạnh. ","Naêr 15.6, ñ/c Ñinh Drin jôh ôi maêng tôjröm maêt adring naê ma thi traân Vinh Thanh."
"Dự buổi tiếp xúc có đồng chí Bùi Tấn Thành, Phó Chủ tịch UBND huyện, cùng lãnh đạo các ban, ngành của huyện. ","Dö maêng tôjröm maêt ôi ñ/c Bui Taân Thanh, Pho chu tich UBND huyeân adring pôgôl rim ban nganh ñông huyeân."
"Cử tri thị trấn Vĩnh Thạnh kiến nghị về việc chủ trương của tỉnh cho phép khai thác, tỉa thưa rừng phòng hộ ngoài quy hoạch đất lâm  nghiệp để thu hồi vốn cho nhà nước. ","Naê ma thi traân Vinh Thanh pôtho khan lôm tôdrong ñông tinh aên phep khai thac, tia thöa bri phong hoâ agah quy hoach the laâm nghieâp sö thu hoâi jeân aên kôpal. "
Sau khi thu hoạch xong giao cho UBND huyện chỉ đạo Ban Quản lý Rừng phòng hộ Vĩnh Thạnh lập thủ tục đề nghị cấp có thẩm quyền thu hồi đất và giao cho địa phương lập phương án sử dụng. ,Ñông rong thu yok keh pôjao aên UBND huyeân pôgôl Khul ngo hnhei bri phong hoâ Vinh Thanh pôm thu tuc aên kôp ôi thaâm quyeân thu hoâi the pôjao aên cham pôlei pôm tôdrong chaê yuoâ. 
Đề nghị UBND tỉnh cho biết nguyên nhân vì sao đến nay chưa thu hồi? Khi nào tiếp tục thực hiện thu hồi đất giao cho dân. ,"Pôtho khan UBND tinh aên aleâ tôdrong yua nhö truh ahrei ñim thu hoâi, jônang ling lang pôm thu hoâi the pôjao aên naê ma. "
"Nhà nước quan tâm nâng cấp mở đường tránh trong khu vực thị trấn Vĩnh Thạnh; hiện nay, một số người dân tái định cư ở khu phố KLót Pók thuộc diện di dời lần đầu nhưng đến nay vẫn chưa có sổ đỏ; yêu cầu nhà nước cho dân khai thác keo đợt hai ở K10 cũ, tiểu khu 155, thuộc rừng phòng hộ.  ","Kôpal ngo hnhei poâk xuoân pôlok trong hli lô3m apung thi traân Vinh Thanh; ahrei, minh ksoâ naê ma taêi ñinh cö oei khu phoâ Klot Pok oei lôm kôbraê di dôi maêng pô tôm maêlei truh ahrei araê ñim ôi soâ ño; pôkaê kôpal aên naê ma khai thac keo maêng maê bal oei K10 ñunh, tieâu khu 155 oei lôm kôbraê bri phong hoâ."
"Kết thúc buổi tiếp xúc cử tri, đồng chí Bùi Tấn Thành , Phó Chủ tịch UBND huyện đã giải trình những ý kiến, kiến nghị vủa cử tri thuộc thẩm quyền của huyện. ","Atuch maêng tôjröm maêt, ñ/c Bui Taân Thanh, Pho chu tich uBND huyeân jôh tôgum rim y kieân, kieân nghi ñông naê ma oei lôm kôbraê thaâm quyeân ñông huyeân."
"Ông  Đinh Drin, Đại biểu Hội đồng nhân dân tỉnh đã tiếp thu các kiến nghị, đề xuất của cử tri để trình các ban, ngành liên quan xem xét giải quyết và trình HĐND tỉnh trong Kỳ họp tới. ","Ñ/c Ñinh Drin, Ñai bieâu HÑND tinh jôh tieâp thu rim kieân nghi ñông naê ma sö trinh rim ban, nganh lieân quan ngo hnhei tôgum oeng trinh HÑND tinh lôm maêng hop truh."
"Sáng ngày 17/6, Ban Thường vụ Huyện đoàn phối hợp với Phòng Giáo dục & Đào tạo huyện tổ chức Đại hội Cháu ngoan Bác Hồ huyện Vĩnh Thạnh lần thứ XV năm 2020.","Bôgheâ naêr 17.6, Huyeân ñoan Vinh Thanh adring phong GD&ÑT huyeân pôlok Ñai hoâi Chau ngoan Bac Hoâ huyeân Vinh Thanh maêng maê XV sônaêm 2020. "
"Đến dự có đồng chí Đinh Drin - Phó Bí thư Thường trực Huyện ủy; đồng chí Huỳnh Đức Bảo - Phó Chủ tịch UBND huyện, lãnh đạo các ban ngành đoàn thể và đặc biệt là sự có mặt của 85 đội viên là đại biểu cháu ngoan Bác Hồ đại diện cho hơn 4.000 bạn đội viên nhi đồng trong toàn huyện. ",Truh dö ôi ñ/c Ñinh Drin – Pho bi thö thöuông trök Huyeân uy; ñ/c Huynh Ñöc Bao – Pho  chu tich UBND huyeân; pôgôl rim ban nganh ñoan theâ oeng pôgloh la tôdrong ôi maêt ñông 85 ñoâi vieân la ñai bieâu Chau ngoan Bac Hoâ ñai dieân aên loi 4.000 ñoâi vieân nhi ñoâng lôm huyen. 
Đại hội đã dâng lên Bác Hồ kính yêu và Đảng quang vinh kết quả công tác đội và phong trào thiếu nhi của huyện trong 2 năm học qua. ,Ñai hoâi jôh aên kjung Naê Hoâ oeng Ñang thu yok tôdrong Ñoâi oeng trong glong thanh thieâu nhi ñông huyeân lôm 02 sônaêm hok anu yuoâ ôu.
"Trong 02 năm học qua, công tác Đội và phong trào thiếu nhi của huyện đã có nhiều chuyển biến tích cực. ","Lôm 02 sônaêm hok anu yuoâ ôu, tôdrong Ñoâi oeng trong glong thanh thieâu nhi ñông huyeân ôi lö tôplih pôjaêng. "
"Nhiều phong trào, cuộc vận động mới đã tạo ra hiệu quả xã hội thiết thực như: “Thiếu nhi Việt Nam thi đua làm theo 5 điều Bác Hồ dạy”, “Nghìn việc tốt”, “Trần Quốc Toản”... góp phần giáo dục truyền thống, đạo đức, nhân cách, lối sống cho đội viên, thiếu niên, nhi đồng, xứng đáng là con ngoan trò giỏi, đội viên tốt, cháu ngoan Bác Hồ.","Lö trong glong, maêng krao akom anao jôh pôm lech thu yok xa hoâi tôpaê in: “Thieâu nhi Vieât Nam tôjroh pôm boi 05 tôdrong Naê Hoâ pôtôp”; “Minh ôbôu tôdrong pôm hôgei”; “Traân Quoâc Toan”… pôgop tôdrong giao duc truyeân thoâng, nöih sôngöm, tôdrong yaêl arih aên ñoâi vieân, thieâu nhi, nhi ñoâng, tôpaê la kon ngoan tro gioi, ñoâi vieân hôgei, chau ngoan Naê Hoâ."
"Cuộc vận động “Vì đàn em thân yêu” và phong trào thi đua “Xây dựng trường học thân thiện, học sinh tích cực” được đẩy mạnh đã tạo ra những kết quả tích cực. ","Maêng krao akom “Yua ñe hyoh thaân yeâu” oeng trong glong tôjroh “Tôjung pôm tröông hok alöng, hok sinh pôjaêng” ñei jôraê deâh jôh pôm lech lö thu yok pôjaêng"
"Phong trào “Kế hoạch nhỏ”, “Lì xì heo đất trao góc học tập giúp bạn học tốt”, chương trình phối hợp với hội khuyến học huyện trao các suất học bổng cho thiếu nhi có hoàn cảnh khó khăn trên điọa bàn huyện, mô hình “Giúp bạn đến trường”, “Đôi bạn cùng tiến”... ","Trong glong “glong pônhroh ken”, “Li xi nhung the aên goc hok tôp tôgum ban hok hôgei” chöông trinh adring hoâi khuyeân hok huyeân aên rim suaât hok boâng aên de hyoh ôi tôdrong hrat tônap lôm tôring huyeân. Moâ hinh “Tôgum ban truh tröông”, “Ñoâi ban adring kjung”… "
"Được tổ chức sâu rộng tại các cơ sở Đội, khơi dậy trong thiếu nhi và toàn thể xã hội tinh thần đoàn kết, tương thân tương ái, sẵn sàng chia sẻ những khó khăn thiếu thốn, cổ vũ tạo niềm tin và đồng lòng cùng thiếu nhi trên con đường biến ước mơ thành hiện thực.","ñei pôlok chru saê lôm rim cô sô Ñoâi, pôm kjung lôm ñe hyoh oeng ñi ñaêng xa hoâi nöih sôngöm ñoan keât, töông thaân töông ai, goâ ñech asong rim hrat tônap, coâ vu pôm tôdrong lui oeng adring kô waê adring ñe hyoh lôm tôdrong bieân öôc mô ñei hieân thöc."
"Phát biểu tại Đại hội, đồng chí Đinh Drin - Phó Bí thư Thường trực Huyện ủy đã biểu dương và ghi nhận những thành tích mà các em thiếu nhi đạt được trong thời gian qua và mong các em phát huy những thành tích đạt được, thi đua học tập tốt, tích cực trong lao động “Tuổi nhỏ làm việc nhỏ”. ","Pôñam bôl dô no Ñai hoâi, ñ/c Ñinh Drin – Pho bi thö thöông tröc Huyeân uy jôh bône oeng ghi yok rim tôdrong thu yok maê rim ñe hyoh ñat ñei lôm jônang anu yuoâ ôu oeng kô waê rim ñe hyoh phat huy rim tôdrong ñat ñei, tôjroh hok tôp hôgei, pôjaêng lôm tôdrong pôm “Sônaêm ken pôm tôdrong ken”. "
"Với tinh thần “Tất cả vì đàn em thân yêu”, đồng chí đề nghị các cấp, các ngành, các đoàn thể và toàn xã hội tiếp tục đẩy mạnh công tác chăm sóc giáo dục thiếu niên nhi đồng, cùng chung tay góp sức tạo điều kiện thuận lợi cho tổ chức Đội Thiếu niên tiền phong Hồ Chí Minh ngày càng phát triển vững mạnh.","Adring nöih sôngöm “Ñi ñaêng yua ñe hyoh amem mônat”, ñ/c pôkaê rim kôp, rim nganh, rim ñoan theâ oeng ñi ñaêng xa hoâi ling lang jôraê deâh tôdrong tôme rong giao duc ñe hyoh, adring ti pôgop jaêng pran pöôm tôdrong alöng aên toâ chöc Ñoâi Thieâu nieân tieân phong HCM naêr kang pôjing kôjaêp deâh."
Dịp này UBND huyện đã trao giấy khen cho 16 đội viên có thành tích suất sắc trong học tập và công tác Đội năm học 2019 - 2020. ,"Maêng maê anu, UBND huyeân jôh aên hla bône aên 16 ñoâi vieân ôi tôdrong pôgloh lôm hok tôp oeng tôdrong Ñoâi sônaêm hok 2019 – 2020. "
"Đồng thời để tuyên dương những thành tích suất sắc mà các em đã đạt được, Hội đồng đội huyện cũng trao giấy chứng nhận Cháu ngoan Bác Hồ và phần quà cho 85 đội viên suất sắc, chăm ngoan, học giỏi.","Thoi noh sö bône rim tôdrong pôgloh maê rim ñe hyoh ñat ñei, Hoâi ñoâng ñoâi huyeân kung jôh aên hla chöng nhaân Chau ngoan Bac Hoâ oeng 01 phaân qua aên 85 ñoâi vieân pôgloh, hok hôgei."
"Tính đến ngày 15.6, toàn huyện có 46/50 tổ chức cơ sở đảng trực thuộc Đảng bộ huyện Vĩnh Thạnh đã tổ chức xong Đại hội Đảng bộ cơ sở nhiệm kỳ 2020-2025, đạt tỷ lệ 92%, trong đó có 12 đảng bộ và 34 chi bộ. ","Truh naêr 15.6, lôm huyeân ôi 46/50 toâ chök cô sô Ñang trök thuoâc Ñang boâ huyeân Vinh Thanh jôh pôlok keh kong Ñai hoâi Ñang boâ cô sô nhieâm ky 2020 – 2025, ñat ty leâ 92%. Lôm noh ôi 12 ñang boâ oeng 34 chi boâ. "
"Xác định tầm quan trọng của Đại hội Đảng cấp cơ sở, thời gian qua Đảng bộ huyện Vĩnh Thạnh đã chỉ đạo các Đảng ủy cơ sở tập trung hướng dẫn, chỉ đạo các Đảng bộ, Chi bộ làm tốt các khâu từ công tác chuẩn bị nhân sự đến nội dung văn kiện theo các bước quy định. ","Pôtho khan tôdrong pôgloh ñông Ñai hoâi Ñang kôp cô sô, jônang au yuoâ ôu, Ñang boâ huyeân Vinh Thanh jôh pôgôi rim Ñang uy kôp cô sô pônhoâm pôtho khan, pôgôl rim Ñang boâ, Chi boâ pôm hôgei rim tôdrong, ñông tôdrong goâ ñech nhaân sö truh noâi dung vaên kieân boi rim tôdrong quy ñinh."
"Theo đó, nhìn chung các Chi bộ, Đảng bộ cơ sở đã tiến hành đại hội đúng nguyên tắc, tiêu chuẩn, bảo đảm số lượng, chất lượng và cơ cấu. ","Boi noh, ngo adring rim Chi boâ, Ñang boâ cô sô jôh pôm Ñai hoâi trô tro tôdrong, tômaên tôl ksoâ löông, tôdrong thu yok ñei oeng cô caâu. "
"Các đại hội cơ sở đều diễn ra trong không khí phấn khởi, phát huy được tính dân chủ, đoàn kết, nhất trí đồng thuận cao trong cán bộ, đảng viên. ","Rim Ñai hoâi cô sô hôdôi ñei pôlok lôm tôdrong höch hanh, phat huy ñei tôdrong daân chu, ñoan keât, tôdrong kô waê ñuoâi lôm kang boâ, ñang vieân. "
"Hiện nay, Đảng bộ huyện Vĩnh Thạnh đang tập trung cho công tác chuẩn bị Đại hội Đảng bộ huyện lần thứ XVIII, nhiệm kỳ 2020 - 2025 dự kiến sẽ diễn ra trong tháng 8.2020.","Ahrei, Ñang boâ huyeân Vinh Thanh atung pônhoâm aên tôdrong goâ ñech Ñai hoâi Ñang boâ huyeân maêng maê XVIII, nhieâm ky 2020 – 2025, pôtho khan ñei pôlok lôm khei 8.2020."
"Trong những năm qua, công tác đầu tư xây dựng kết cấu hạ tầng cơ sở được xã Vĩnh Thuận quan tâm chú trọng. ","Lôm lö sônaêm anu yuoâ ôu, tôdrong tôgum tôjung pôm keât caâu ha taâng cô sô ñei xa Vinh Thuaân ngo hnhei pônhroh."
"Nhờ đó tạo điều kiện đẩy mạnh tốc độ tăng trưởng kinh tế, nâng cao đời sống cho nhân dân trên địa bàn xã.","Yua noh pôm tôdrong jôraê deâh tôdrong kjung kinh teâ, poâk xuoân tôdrong yaêl arih aên naê ma lôm tôring xa. "
"Trong năm năm qua, xã Vĩnh Thuận được đầu tư triển khai xây dựng 27 công trình thiết yếu phục vụ sản xuất và đời sống người dân với tổng kinh phí xây dựng trên 12,9 tỷ đồng. ","Lôm 05 sônaêm anu yuoâ ôu, xa Vinh Thuaân ñei tôgum pônhroh pôm 27 koâng trinh tôgum choh jang oeng tôdrong yaêl arih naê ma adring pôting ksoâ jeân loi 12,9 ty ñoâng. "
"Trong đó có nhiều công trình đầu tư xây dựng quan trọng như công trình đầu tư nâng cấp, mở rộng và xây dựng mới 09 tuyến đường vào các khu sản xuất, với tổng chiều dài hơn 6,5km; xây dựng mới 1,2km kênh mương nội đồng; hay công trình xây dựng khu hoạt động thể thao xã...","Lôm noh ôi lö koâng trinh tôgum pôm pôgloh in: koâng trinh tôgum poâk xuoân, pôlok saê oeng tôjung pôm anao 09 tuyeân trong tômöt rim apung choh jang adring pôting tôdrong ñuoâi loi 6,5 km; pôm anao 1,2 km trong möông lôm tômaên; koâng trinh pôm apung hoat ñoâng theâ thao xa…"
"Việc xây dựng các công trình cơ sở hạ tầng thiết yếu được đưa vào sử dụng hiệu quả đã tạo điều kiện thuận lợi cho việc sản xuất, đi lại, lưu thông hàng hóa của người dân trên địa bàn xã. ","Tôdrong tôjung pôm rim koâng trinh cô sô ha taâng ñei aên tômöt chaê yuoâ thu yok jôh pôm tôdrong alöng aên tôdrong choh jang, naêm söt, chep chô hang hoa ñông naê ma lôm tôring xa. "
"Góp phần làm thay đổi bộ mặt nông thôn, thúc đẩy phát triển kinh tế xã hội ở địa phương ngày càng phát triển.","Pôgop tôdrong pôm tôplih trong maêt cham pôlei, jôraê kinh teâ xa hoâi oei cham pôei naêr kang pôjing."
"Ngày 13.6, Hội Chữ thập đỏ tỉnh Bình Định đã tổ chức Lễ khởi công và trao tiền hỗ trợ xây nhà tình nghĩa từ các nhà hảo tâm cho gia đình hộ nghèo có hoàn cảnh đặc biệt khó khăn cho gia đình bà Lê Thi Thã, thôn An Ngoại và Anh Đinh Lương Bầm ở Làng M2, xã Vĩnh Thịnh, huyện Vĩnh Thạnh. ","Naêr 13.6, Hoâi CTÑ tinh Binh Ñinh jôh pôlok maêng khôi koâng oeng aên jeân tôgum hnam tinh nghia ñông rim hnam hao taâm aên unh hnam dônuh oei tôdrong pôgloh hrat tônap aên unh hnam yaê Leâ Thi Tha, thoân An Ngoai oeng nhong Ñinh Löông Baâm oei pôlei M2, xa Vinh thinh. "
"Đây là những hộ có hoàn cảnh đặc biệt khó khăn. Ông Hà Văn Cát - Chủ tich hội CTĐ tỉnh và ông Huỳnh Đức Bảo, Phó Chủ tịch UBND huyện đã đến dự, trao tặng và động viên các gia đình.","Anu la rim unh hnam ôi tôdrong pôgloh hrat tônap. ñ/c Ha Vaên Cat – Chu tich Hoâi CTÑ tinh oeng ñ/c Huynh Ñöc Bao – Pho chu tich UBND huyeân truh dö, aên jeân oeng ñoâng vieân rim unh hnam."
"Thực hiện chương trình Tháng Nhân đạo năm 2020, trong thời gian qua Hội Chữ thập đỏ tỉnh đã vận động các nhà hảo tâm tích cực tham gia ủng hộ, giúp đỡ kinh phí hỗ trợ xây dựng nhà cho các gia đình hộ nghèo có hoàn cảnh đặc biệt khó khăn. ","Pôm chöông trinh khei nhaân ñao sônaêm 2020, lôm jônang anu yuoâ ôu, Hoâi CTÑ tinh jôh krao akom rim hnam hao taâm pôjaêng adring pôm tôgum jeân tôgum pôm hnam aên rim unh hnam dônuh ôi tôdrong pôgloh hrat tônap. "
"Với nguồn kinh phí đóng góp từ các nhà tài trợ, Hội Chữ thập đỏ tỉnh đã trao tặng gia đình bà Lê Thi Thã, thôn An Ngoại 50 triệu đồng từ nguồn hỗ trợ của Hệ thống Siêu thị Big C và trao tặng hộ ông Đinh Lương Bầm ở Làng M2, xã Vĩnh Thịnh 40 triệu đồng từ nguồn hỗ trợ của Cty Xăng dầu Bình Định để xây dựng nhà ở.","Adring nguoân jeân pôgop ñông rim hnam hao taâm, Hoâi CTÑ tinh jôh aên unh hnam yaê Leâ Thi Tha, thoân An Ngoai 50 trieâu ñoâng ñông nguoân tôgum ñông Heâ thoâng Sieâu thi BigC oeng aên unh hnam nhong Ñinh Löông Baâm oei pôlei M2, xa vinh Thinh 40 trieâu ñoâng ñông nguoân tôgum ñông Cty xaêng daâu  Binh Ñinh sö pôm hnam oei."
Phó Chủ tịch UBND huyện Huỳnh Đức Bảo mong muốn các gia đình với nguồn tiền hỗ trợ từ các nhà hảo tâm sẽ xây dựng cho mình được căn nhà mới khang trang hơn. ,Pho chu tich UBND huyeân Huynh Ñöc Bao kô waê rim unh hnam adring nguoân jeân tôgum ñông rim hnam hao taâm pôm aên bôn ñei minh to hnam anao alöng loi. 
"Đồng thời, yêu cầu cấp ủy Đảng, chính quyền địa phương tiếp tục quan tâm các hộ gia đình còn nhiều khó khăn trong cuộc sống.","Thoi noh, pôkaê kôp uy Ñang, khul pôgôl cam pôlei ling lang ngo hnhei loi pieâu rim unh hnam araê lö tôdrong hrat tônap lôm tôdrong yaêl arih."
"Trong hai ngày 15 và 16.6, Trung tâm y tế huyện Vĩnh Thạnh phối hợp Trạm y tế xã Vĩnh Kim ra quân triển khai chiến dịch chăm sóc SKSS/KHHGĐ đợt 1 năm 2020, tại xã Vĩnh Kim.","Lôm 02 naêr 15 oeng 16.6, Trung taâm y teâ huyeân Vinh Thanh adring Tram y teâ xa Vinh Kim lech quaân pônhroh chieân dich tôme rong jaêng pran ñeh, keâ hoach hoa unh hnam maêng maê minh sônaêm 2020 dô no xa Vinh Kim."
"Nhờ làm tốt công tác tuyên truyền, vận động nên thu hút đông đảo chị em phụ nữ trong độ tuổi sinh đẻ đến Trạm y tế xã để được khám, tư vấn và cấp thuốc miễn phí.","Yua pôm hôgei tôdrong pôthokhan, krao akom kôna pônhoâm lö mai oh lôm kôbraê ñeh truh Tram y teâ xa sö ñei kham, tö vaân oeng kôp bôgang bi yok jeân."
"Với mục đích tuyên truyền, lồng ghép với các dịch vụ chăm sóc SKSS, Chiến dịch đã cung cấp cho chị em phụ nữ trong độ tuổi sinh đẻ, nhiều kiến thức về sức khỏe sinh sản, cách tự chăm sóc bản thân đối với phụ nữ, khám phụ khoa, làm các dịch vụ chăm sóc sức khỏe sinh sản, tư vấn sức khỏe cho phụ nữ qua tuổi sinh đẻ...","Adring tôdrong pôtho khan, pôtep adring rim jit vu tôme rong jaêng pran ñeh, chieân dich jôh tôgum aên mai oh lôm kôbraê ñeh lö tôdrong baêt lôm jaêng pran ñeh, kô kach kôdih tôme rong ôkôu adring mai oh, kham phu khoa, pôm rim dich vu tôme rong jaêng pran ñeh, tö vaân jaêng pran aên mai oh qua sônaêm ñeh…"
"Qua hai ngày triển khai thực hiện, đã tiến hành khám phụ khoa cho 55 người, tăng 30 người so với kế hoạch; cung cấp các biện pháp tránh thai cho 5 người; soi tươi cho 50 người; tầm soát ung thư cổ tử cung cho 50 người và tổ chức tư vấn cho nhiều chị em phụ nữ đồng bào DTTS trong diện sinh đẻ trên địa bàn xã.","Qua 02 naêr pônhroh pôm, jôh kham phu khoa aên 55 mai oh, kjung 30 mai oh pôting adring glong pônhroh; tôgum rim tôdrong bi aên chep klak aên 05 mai oh, soi töôi aên 50 mai oh; taàm soaùt ung thö coå tö cung aên 50 mai oh oeng pôlok tö vaân aên lö mai oh kon koâng lôm kôbraê ñeh lôm tôring xa."
"Trong những năm qua, huyện Vĩnh Thạnh đã tập trung đẩy mạnh công tác cải cách hành chính theo hướng sát với điều kiện, tình hình thực tế của địa phương, nhằm tạo bước chuyển biến tích cực trong việc nâng cao chất lượng, hiệu quả giải quyết các thủ tục hành chính, đáp ứng ngày càng tốt hơn nhu cầu của các tổ chức và công dân, tạo động lực thúc đẩy kinh tế - xã hội phát triển. ","Lôm lö sônaêm anu yuoâ ôu, huyeân Vinh Thanh jôh pônhoâm jôraê deâh tôdrong cai cah hanh chinh boi tôdrong jeâ adring tôdrong thöc teâ ñông cham pôlei, sö pôm tôdrong tôplih pôjaêng lôm tôdrong poâk xuoân tôdrong thu yok ñei, thu yok tôgum rim tôdrong hanh chinh, tôgum naêr minh hôgei loi tôdrong kô waê ñông rim toâ chöc oeng naê ma, pôm tôdrong jôraê kinh teâ xa hoâi pôjing. "
"Xác định cải cách hành chính là một chương trình lớn của Đảng, Nhà nước và của tỉnh, có tầm quan trọng đặc biệt liên quan đến nhiều lĩnh vực nhằm hiện đại hóa nền hành chính Nhà nước, UBND huyện Vĩnh Thạnh đã từng bước đổi mới các nội dung, hình thức chỉ đạo thực hiện chương trình cải cách hành chính cho phù hợp với yêu cầu, nhiệm vụ đề ra của Trung ương và của tỉnh.","Pôtho khan cai cach hanh chinh la minh tôdrong groâng ñông Ñang, Kôpal oeng ñông tinh, ôitôdrong pôgloh lieân quan truh lö tôdrong sö hieân ñai hoa tôdrong hanh chinh kôpal, UBND huyeân Vinh Thanh jôh rim tôdrong tôplih rim tôdrong pôgôl pôm tôdrong cai cach hanh chinh aên trô tro adring tôdrong aên lech ñông Trung öông oeng ñông tinh."
"Thời gian qua, UBND huyện Vĩnh Thạnh luôn xác định việc đẩy mạnh ứng dụng công nghệ thông tin, triển khai thực hiện phần mềm một cửa điện tử có ý nghĩa quan trọng trong công tác cải cách hành chính cũng như hoạt động quản lý, điều hành của lãnh đạo các cơ quan, địa phương.","Jônang anu yuoâ ôu, UBND huyeân Vinh Thanh dech pôtho khan tôdrong jôraê deâh öng jung CNTT, pônhroh pôm phaân meâm moât cöa ñieân tö ôi tôdrong pôgloh lôm tôdrong cai cach hanh chinh kung in tôdrong pôm ngo hnhei, pôgôl ñông pôgôl rim kô kuan, cham pôlei."
"Công tác tuyên truyền được triển khai sâu rộng trên hệ thống truyền thanh, niêm yết công khai tại trụ sở làm việc về chương trình tổng thể cải cách hành chính Nhà nước của Chính phủ và chương trình cải cách hành chính Nhà nước giai đoạn 2011-2010 của tỉnh","Tôdrong pôtho khan ñei pônhroh jôru saê lôm heâ thoâng truyeân thanh, nieâm yeât koâng khai lôm tru sô pôm bieâk lôm tôdrong toång theå cai cach hanh chinh Nha nöôc ñông kôpal the ñak oeng tôdrong cai cach hanh chinh Nha nöôc giai ñoan 2011 – 2020 ñông tinh"
"Nhất là cải cách thủ tục hành chính theo cơ chế “một cửa”, “một cửa liên thông” để các cơ quan, doanh nghiệp và công dân trên địa bàn nắm được quy trình giải quyết các thủ tục hành chính, đồng thời giám sát việc thực hiện cải cách hành chính của cán bộ, công chức tại UBND các cấp.","Pôgloh la cai cach thu tic hanh chinh boi tôdrong moât cöa, moât cöa lieân thoâng sö rim kô kuan, doanh nghieâp oeng naê ma lôm tôring roâp baêt ñei tôdrong tôgum rim thu tuc hanh chinh, thoi noh ngo hnhei tôdrong pôm cai cach hanh chinh ñông can boâ, coâng chöc dô no UBND adring kôp."
"Cùng với công tác tuyên truyền, việc cải cách thể chế đã được Phòng Nội vụ tham mưu cho UBND huyện xây dựng và ban hành các quy định, quy chế hoạt động của cơ quan chuyên môn và UBND huyện. ","Adring tôdrong pôtho khan, tôdrong cai cach theå cheá jôh ñei Phong noâi vu pôñam bôl ñon aên UBND huyeân tôjung pôm oeng aên lech rim quy ñinh, quy cheâ pôm ñông kô kuan chuyeân moân oeng UBND huyeân. "
